Word search.
____________________________
| Word | String | Position |
____________________________
|  If  | 40     | 1        |
|  If  | 76     | 1        |
|  If  | 128    | 2        |
|  If  | 129    | 3        |
|  If  | 131    | 2        |
|  If  | 133    | 2        |
|  If  | 145    | 1        |
|  If  | 152    | 2        |
|  If  | 154    | 2        |
|  If  | 155    | 3        |
|  If  | 157    | 2        |
|  If  | 160    | 2        |
|  If  | 171    | 1        |
|  If  | 180    | 2        |
|  If  | 196    | 4        |
|  If  | 224    | 1        |
|  If  | 230    | 3        |
|  If  | 263    | 2        |
|  If  | 277    | 1        |
|  If  | 284    | 2        |
|  If  | 310    | 1        |
|  If  | 317    | 2        |
|  If  | 358    | 2        |
|  If  | 360    | 3        |
|  If  | 373    | 1        |
|  If  | 378    | 1        |
|  If  | 380    | 2        |
|  If  | 397    | 4        |
|  If  | 410    | 3        |
|  If  | 423    | 4        |
|  If  | 447    | 2        |
|  If  | 453    | 3        |
|  If  | 459    | 7        |
|  If  | 464    | 3        |
|  If  | 474    | 3        |
|  If  | 478    | 1        |
|  If  | 498    | 2        |
|  If  | 504    | 3        |
|  If  | 510    | 7        |
|  If  | 515    | 3        |
|  If  | 525    | 3        |
|  If  | 529    | 1        |
|  If  | 547    | 2        |
|  If  | 557    | 2        |
|  If  | 559    | 3        |
|  If  | 582    | 1        |
|  If  | 589    | 2        |
|  If  | 596    | 1        |
|  If  | 602    | 4        |
|  If  | 603    | 1        |
____________________________
Count of word = 50
