apple €блоко
are наход€тс€
ball м€ч
battery батаре€
behind сзади
brace скобка
break ломать
call вызов
car машина
cat кошка
chair стул
cinema кино
circle круг
close закрыть
connector разъем
cucumber огурец
cunning шельмовство
dog собака
door дверь
eight восемь
exit выход
father папа
first первый
five п€ть
flowers цветы
four четыре
friday п€тница
friend друг
glas стекло
glass стакан
go идти
good хорошо
great большой
green зелЄный
hello привет
home дом
horse лошадь
house дом
i €
keyboard клавиатура
kitchen кухн€
lie лежать
life жизнь
light легкий
live жить
love люблю
map карта
monday понедельник
money деньги
monkey обезь€на
mother мама
my мой
nine дев€ть
one один
pair пара
pen ручка
phone телефон
police полици€
push нажать
queue очередь
remove удалить
saturday суббота
second второй
seven семь
shadow тень
shop магазин
sit сидеть
six шесть
sky небо
sleep спать
so так
socket розетка
speak говорить
sun солнце
sunday воскресенье
table стол
talk говорить
the в
they они
three три
thursday четверг
to к
translate перевести
try попытка
tuesday вторник
tv телевизор
two два
under под
underground под_землей
up вверх
volf волк
wall стена
watch смотреть
water вода
we мы
wednesday среда
where где
window окно
word слово
work работа
xerox ксерокс
you ты
zero ноль
